strategy,symbol,asset_class,period,bars,total_return_pct,cagr_pct,sharpe,sortino,calmar,max_drawdown_pct,max_dd_duration_days,volatility_ann_pct,var_95_pct,total_trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_usd,avg_hold_hours,alpha_vs_spy_pct,info_ratio,commission_usd,cost_drag_pct
ma_cross_10_50,HDFCBANK.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,-3.2,-0.65,-0.051,-0.038,-0.054,-12.01,676,7.44,0.001,30,0.533,3.65,-4.2,0.993,-69.12,1460.8,0.0,0.0,47791.02,4.779
ma_cross_10_50,INFY.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,-17.66,-3.81,-0.34,-0.222,-0.181,-21.1,944,10.1,0.003,31,0.419,5.06,-4.95,0.738,-3772.73,1413.7,0.0,0.0,49384.05,4.938
ma_cross_10_50,TCS.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,-18.44,-3.99,-0.391,-0.201,-0.158,-25.32,804,9.4,0.005,31,0.548,3.68,-5.9,0.757,-3242.15,1413.7,0.0,0.0,49384.05,4.938
ma_cross_10_50,SPY,ETF,2021-08-12 to 2026-08-13,1256,16.83,3.16,0.478,0.718,0.311,-10.15,979,7.03,0.001,31,0.548,5.2,-2.21,2.852,9252.25,1413.7,-10.68,-0.566,54034.05,5.403
ma_cross_10_50,QQQ,ETF,2021-08-12 to 2026-08-12,1255,28.58,5.16,0.494,0.711,0.296,-17.4,978,11.46,0.001,33,0.576,6.36,-3.64,2.375,10602.17,1327.3,-8.25,-0.401,57520.12,5.752
ma_cross_10_50,GLD,ETF,2021-08-12 to 2026-08-12,1255,48.29,8.2,0.57,2.087,1.925,-4.26,738,15.73,0.0,23,0.783,7.02,-4.38,5.772,22723.23,1904.3,-4.95,-0.206,40089.78,4.009
ma_cross_10_50,TLT,ETF,2021-08-12 to 2026-08-12,1255,-30.47,-7.01,-1.007,-0.52,-0.23,-30.47,1825,7.0,0.0,38,0.316,2.29,-2.99,0.353,-6607.99,1152.6,-20.96,-1.143,66235.29,6.624
ma_cross_10_50,BTC-USD,CRYPTO,2021-08-14 to 2026-08-13,1826,36.66,6.45,0.31,0.256,0.134,-48.06,831,20.54,0.148,40,0.45,15.3,-9.14,1.37,9292.82,1090.8,0.0,0.0,79721.36,7.972
ma_cross_10_50,ETH-USD,CRYPTO,2021-08-14 to 2026-08-13,1826,8.23,1.59,0.175,0.167,0.033,-49.05,906,32.78,0.013,49,0.449,15.3,-11.17,1.116,3559.41,893.4,0.0,0.0,97658.67,9.766
ma_cross_10_50,EURUSD=X,FOREX,2021-08-12 to 2026-08-13,1301,-10.92,-2.28,-0.507,-0.33,-0.173,-13.17,1823,4.24,0.0,31,0.484,1.48,-2.11,0.659,-1859.35,1411.4,0.0,0.0,54034.05,5.403
ma_cross_10_50,GC=F,ETF,2021-08-12 to 2026-08-12,1257,48.57,8.24,0.646,2.041,1.731,-4.76,755,13.54,0.004,21,0.81,7.07,-3.89,7.728,24896.85,2085.7,-5.16,-0.235,36603.71,3.66
ma_cross_50_200,AAPL,EQUITY_US,2021-08-12 to 2026-08-13,1256,23.34,4.28,0.567,0.745,0.573,-7.47,641,7.98,0.0,13,0.615,13.4,-5.02,4.268,31579.46,3371.1,-9.53,-0.509,16340.14,1.634
ma_cross_50_200,MSFT,EQUITY_US,2021-08-12 to 2026-08-13,1256,31.53,5.63,0.596,2.455,2.096,-2.69,1095,9.98,0.001,7,0.714,14.64,-3.99,9.165,46566.8,6260.6,-8.1,-0.404,8798.54,0.88
ma_cross_50_200,NVDA,EQUITY_US,2021-08-12 to 2026-08-12,1255,185.77,23.37,0.481,23.51,13.076,-1.79,1246,69.82,0.0,7,0.714,89.28,-2.37,94.017,315460.27,6257.1,19.68,0.273,8798.54,0.88
ma_cross_50_200,AMZN,EQUITY_US,2021-08-12 to 2026-08-12,1255,24.47,4.48,0.368,0.519,0.274,-16.35,1323,14.54,0.001,7,0.571,22.58,-10.79,2.79,41386.46,6195.4,-8.57,-0.37,8798.54,0.88
